DHSID,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,BUFF_DIST,intersect_count,area_overlap,percent_overlap,area_by_count,nearest_concession,area_overlap_dissolved,percent_overlap_dissolved,total_dist,avg_dist
LB200700000072,2007,R,5.958531605,-9.122485036,373,119,WGS84,5000,8,37793.17667,481.7075718,4724,18,7845.667983,100.0000002,,
LB201100000148,2011,R,5.013238,-8.920403,9999,17,WGS84,5000,1,7845.647384,99.99999998,7846,72,7845.647377,99.99999989,,
LB201300000061,2013,R,5.138277,-8.966111,68,32,WGS84,5000,1,7845.634999,100.0000001,7846,72,7845.635,100.0000001,,
LB198600000102,1986,R,5.2,-9.0333,9999,75,WGS84,5000,2,10319.75561,131.5349964,5160,43,7845.634924,100.0000001,,
LB198600000103,1986,R,5.1667,-8.9833,9999,43,WGS84,5000,1,7845.632926,99.99999996,7846,72,7845.632941,100.0000001,,
LB200700000283,2007,R,5.052904678,-9.01449968,42,6,WGS84,5000,1,7845.632768,99.99999984,7846,72,7845.632767,99.99999982,,
LB200700000170,2007,R,5.100386612,-9.00124498,0,13,WGS84,5000,1,7845.632283,100.0000001,7846,72,7845.632284,100.0000001,,
LB201100000056,2011,R,4.645356,-8.253268,9999,21,WGS84,5000,2,7844.586591,99.96968777,3922,436,7844.586616,99.96968808,,
LB198600000377,1986,R,6.0583,-9.9667,9999,75,WGS84,5000,3,7882.104196,100.4364032,2627,61,7844.363537,99.9554991,,
LB201300000181,2013,R,6.198241,-9.34192,183,178,WGS84,5000,1,7843.433139,99.96842789,7843,82,7843.433126,99.96842772,,
LB201300000221,2013,R,6.125494,-8.624436,217,215,WGS84,5000,6,14572.65926,185.7343761,2429,48,7842.086292,99.95052914,,
LB201100000042,2011,R,7.114766,-11.193521,9999,63,WGS84,5000,15,28405.96248,361.5351105,1894,102,7842.076211,99.80953441,,
LB200700000287,2007,R,6.910780037,-10.23454201,137,155,WGS84,5000,5,11386.79603,145.0686434,2277,116,7840.900209,99.89366221,,
LB200700000300,2007,R,5.193265022,-7.679035433,107,106,WGS84,5000,5,9958.847744,126.8675754,1992,66,7838.675039,99.85830909,,
LB201100000118,2011,R,6.701641,-10.409871,9999,137,WGS84,5000,2,10784.14191,137.371459,5392,55,7838.386592,99.84759211,,
LB200700000058,2007,R,6.161584293,-8.566942439,239,230,WGS84,5000,4,18374.80952,234.1910045,4594,48,7836.244609,99.87466779,,
LB200700000150,2007,R,5.129428536,-7.709498397,141,137,WGS84,5000,4,15262.34753,194.43451,3816,75,7832.547812,99.78265748,,
LB201300000155,2013,R,6.134598,-8.223348,228,225,WGS84,5000,2,8752.207003,111.5347551,4376,83,7825.558705,99.7259061,,
LB198600000366,1986,R,7.3167,-9.5097,9999,276,WGS84,5000,3,8373.281764,106.7170278,2791,217,7825.199587,99.73174977,,
LB198600000214,1986,R,5.75,-7.85,9999,194,WGS84,5000,3,15951.82671,203.239494,5317,180,7825.142695,99.69880377,,
LB201300000228,2013,R,7.09219,-10.902007,114,115,WGS84,5000,12,9345.576791,118.9881343,779,567,7824.651803,99.62367659,,
LB201100000139,2011,R,5.380338,-7.958971,9999,263,WGS84,5000,4,12471.19923,158.9048673,3118,94,7824.473908,99.69746816,,
LB200700000224,2007,R,7.562697022,-8.572774323,494,517,WGS84,5000,3,9028.063999,115.0648815,3009,561,7822.575987,99.70064228,,
LB201300000224,2013,R,5.8493,-9.613344,77,79,WGS84,5000,2,9264.711322,118.0740237,4632,17,7820.381847,99.66678071,,
LB201300000303,2013,R,7.042361,-10.863531,117,116,WGS84,5000,11,13145.94774,167.3818464,1195,461,7820.006795,99.56887109,,
LB200700000235,2007,R,4.688060207,-7.746193207,72,73,WGS84,5000,3,8153.847498,103.8787358,2718,515,7818.437176,99.60566097,,
LB201300000035,2013,R,4.694841,-7.746801,83,79,WGS84,5000,5,8909.75039,113.5088736,1782,515,7817.061555,99.58818296,,
